"광역시도","시군구","선거인수","투표수","이재명","윤석열","심상정","electionSum","electionRatio"
"서울특별시","종로구",129968,100629,46130,49172,3115,98417,1.15528450188253
"서울특별시","중구",111448,84998,38244,42906,2310,83460,1.28363840893434
"서울특별시","용산구",199077,152068,60063,85047,4374,149484,6.79403551638379
"서울특별시","성동구",252087,197240,84411,103880,5365,193656,9.02033740093773
"서울특별시","광진구",303582,235471,109922,113733,7072,230727,12.249881072724
"서울특별시","동대문구",300928,232106,108171,112890,6416,227477,12.8207772825545
"서울특별시","중랑구",347108,260862,130381,118201,6899,255481,15.8534965920204
"서울특별시","성북구",375880,292187,142702,135044,8952,286698,21.6431386167016
"서울특별시","강북구",268974,199448,103333,86540,5245,195118,15.2178185697974
"서울특별시","도봉구",281812,216036,106546,99780,5605,211931,17.1574596101722
"서울특별시","노원구",441879,349297,169275,163340,10021,342636,33.7420159179405
"서울특별시","은평구",417391,317971,161510,140666,9715,311891,31.6482528523824
"서울특별시","서대문구",269615,210460,100702,98924,6886,206512,21.4595155730916
"서울특별시","마포구",324091,256218,117916,124327,9308,251551,26.6104803936918
"서울특별시","양천구",378710,301379,138586,149780,7821,296187,40.2722918006529
"서울특별시","강서구",504185,390247,190000,181510,11100,382610,93.3994712546595
"서울특별시","구로구",348156,272920,133027,127129,7539,267695,115.469391628421
"서울특별시","금천구",208786,157035,80208,69227,4278,153713,1.8043858950981
"서울특별시","영등포구",334361,263581,116443,134846,7627,258916,3.98220132144314
"서울특별시","동작구",342248,271510,122914,135733,7866,266513,12.1129939497069
"서울특별시","관악구",446161,340773,169284,151944,11245,332473,15.4863192294686
"서울특별시","서초구",344756,277878,88686,179472,5864,274022,14.5485223285961
"서울특별시","강남구",451970,354778,106865,235897,7020,349782,19.7139803999811
"서울특별시","송파구",565840,453536,180490,255166,10652,446308,27.6949845859044
"서울특별시","강동구",397634,313203,139172,160593,8029,307794,23.2356982169009
"부산광역시","중구",38032,27408,9929,16153,600,26682,2.08100654516413
"부산광역시","서구",94117,69786,25154,41470,1508,68132,5.51581428936895
"부산광역시","동구",80399,59326,21558,35081,1190,57829,5.6948687193365
"부산광역시","영도구",100073,71696,29565,39058,1368,69991,7.1021378154262
"부산광역시","부산진구",313739,233474,89233,133285,5214,227732,23.664573489634
"부산광역시","동래구",232079,179768,65261,106515,4035,175811,18.5982769636986
"부산광역시","남구",227098,173557,64361,101749,3652,169762,23.0823932200348
"부산광역시","북구",246904,189125,74650,105576,4262,184488,45.0356280620727
"부산광역시","해운대구",339847,259616,92631,156792,5068,254491,109.773887987853
"부산광역시","기장군",144027,106148,42955,58497,2253,103705,1.21735857898257
"부산광역시","사하구",268754,196600,78332,108983,4277,191592,2.94673915701592
"부산광역시","금정구",201647,155206,54772,93283,3500,151555,6.88816229620257
"부산광역시","강서구",112330,84488,36016,44889,1834,82739,3.85391465390273
"부산광역시","연제구",180732,139351,51471,81889,3087,136447,7.24431697516968
"부산광역시","수영구",156367,118017,41801,71160,2617,115578,6.51406426479639
"부산광역시","사상구",185365,136658,54207,75692,3076,132975,8.25156747203868
"대구광역시","중구",65964,51325,10913,38288,981,50182,3.78829284495644
"대구광역시","동구",297312,232992,52170,171004,4522,227696,17.7586712505693
"대구광역시","서구",149729,113904,19516,89620,1818,110954,8.98258760439504
"대구광역시","남구",129711,97962,19765,73865,1784,95414,9.39615424763998
"대구광역시","북구",373173,294832,66469,215861,6090,288420,29.2665998303386
"대구광역시","수성구",349945,285537,59379,216031,5168,280578,29.1560197977207
"대구광역시","달서구",466792,368662,77951,275155,7361,360467,38.1322278030018
"대구광역시","달성군",214088,166298,38882,120064,3407,162353,22.074997858486
"인천광역시","중구",121916,90125,43942,41805,2296,88043,21.4923019463004
"인천광역시","동구",53909,40918,19195,19661,1196,40052,17.2763035301425
"인천광역시","미추홀구",356862,253347,119287,121122,6951,247360,2.90367694997473
"인천광역시","연수구",317609,250104,111446,127768,6812,246026,3.78394947515554
"인천광역시","남동구",441525,329653,162476,150877,9232,322585,14.6614617420772
"인천광역시","부평구",424164,316024,159280,141072,8977,309329,14.4082907211482
"인천광역시","계양구",258741,193864,100532,83638,5502,189672,10.0701670928227
"인천광역시","서구",462821,346084,174908,154553,9594,339055,19.1093984953931
"인천광역시","강화군",63019,48473,17036,29267,988,47291,2.93457324549864
"인천광역시","옹진군",18659,14912,5218,8797,304,14319,1.08095662283152
"광주광역시","동구",90678,73877,60669,11036,1063,72768,5.67538731273905
"광주광역시","서구",248147,202633,170357,26262,2961,199580,16.1575502828664
"광주광역시","남구",180643,148854,124572,19927,2073,146572,14.4340780219369
"광주광역시","북구",363088,295658,249976,36421,4550,290947,29.5230199737796
"광주광역시","광산구",326650,264470,224484,30865,4218,259567,26.972679935116
"대전광역시","동구",192350,142804,65555,70069,3603,139227,14.7282155657204
"대전광역시","중구",199637,151200,66698,77459,3782,147939,20.1151386681279
"대전광역시","서구",399599,304873,139877,150031,8427,298335,72.8269811472749
"대전광역시","유성구",288686,231027,108701,111342,6492,226535,97.7151558024777
"대전광역시","대덕구",152905,115404,54119,55159,3141,112419,1.31964933311452
"울산광역시","중구",182051,143171,54075,81399,3852,139326,2.14287329215416
"울산광역시","남구",268213,209589,77783,121304,5251,204338,9.28714530884128
"울산광역시","동구",127599,98491,44506,47065,3427,94998,4.42492880372559
"울산광역시","북구",175732,138319,64692,64597,5072,134361,7.13356594942193
"울산광역시","울주군",188615,145891,56078,81956,3690,141724,7.98767277391894
"세종특별자치시","세종특별자치시",288895,231832,119349,101491,6780,227620,14.1246233351039
"경기도","수원시장안구",234723,183882,91842,83470,4755,180067,13.5934503948183
"경기도","수원시권선구",311536,235055,121028,103154,5754,229936,17.9333753455085
"경기도","수원시팔달구",161747,119627,58024,56051,3003,117078,9.47837294326804
"경기도","수원시영통구",295828,239154,114418,114252,6385,235055,23.1476831144173
"경기도","성남시수정구",207998,161006,86224,68806,3128,158158,16.0486335759194
"경기도","성남시중원구",186278,142368,80857,56072,2799,139728,14.5197140698698
"경기도","성남시분당구",404493,335434,140966,183094,7005,331065,35.0219187820266
"경기도","의정부시",398960,295029,154851,127348,6788,288987,39.293313989457
"경기도","안양시만안구",209083,162812,82650,73147,3901,159698,38.9841059052994
"경기도","안양시동안구",262895,216629,105221,102552,5574,213347,92.0265537113082
"경기도","부천시",699678,532995,285227,224331,13249,522807,6.13705787186868
"경기도","광명시",247357,198669,103470,87112,4746,195328,3.00419989384529
"경기도","평택시",472732,338768,166032,156630,7988,330650,15.0280153293483
"경기도","양주시",197345,145562,75236,63800,3162,142198,6.62346603120246
"경기도","동두천시",81075,57532,28495,26434,1125,56054,2.97604889610003
"경기도","안산시상록구",303413,222254,121488,90654,5103,217245,12.2440939556463
"경기도","안산시단원구",260659,192948,103595,80605,4563,188763,11.7134095185143
"경기도","고양시덕양구",414210,323033,167037,139914,10643,317594,23.9755106970845
"경기도","고양시일산동구",256654,197004,96990,91849,5032,193871,15.1205614240879
"경기도","고양시일산서구",251203,197311,99597,89677,4975,194249,15.7259644498272
"경기도","과천시",63841,54194,21072,30934,1314,53320,5.25083262921755
"경기도","의왕시",139712,113105,54997,53556,2717,111270,11.2908070283676
"경기도","구리시",164281,127688,63465,58865,3023,125353,13.0259483983195
"경기도","남양주시",608146,460518,239179,203075,10089,452343,47.8513881190046
"경기도","오산시",188297,135108,72877,55793,3352,132022,17.9509178596826
"경기도","화성시",703896,542027,283324,236055,12955,532334,129.948809834761
"경기도","시흥시",424723,317197,178462,125544,7082,311088,134.1868249422
"경기도","군포시",229884,183089,94891,80277,4593,179761,2.11015472268923
"경기도","하남시",265087,208858,101106,100088,4624,205818,3.16553906122752
"경기도","파주시",401260,297278,157155,126763,7176,291094,13.2301983798013
"경기도","여주시",98077,72566,30695,38731,1458,70884,3.30171849221336
"경기도","이천시",187895,137512,63562,67726,2995,134283,7.12942473177652
"경기도","용인시처인구",220689,162420,80188,75105,3618,158911,8.95634520741888
"경기도","용인시수지구",304545,250764,113161,128995,5334,247490,15.357626874637
"경기도","용인시기흥구",361753,289459,143279,135606,6267,285152,21.5264294233992
"경기도","안성시",162452,117380,56723,54799,2892,114414,8.92347960641663
"경기도","김포시",391889,302170,153206,136814,6905,296925,24.0383836944589
"경기도","포천시",131901,95968,44320,47306,1903,93529,9.21052372427023
"경기도","연천군",37817,28904,12013,15325,604,27942,2.83533504077151
"경기도","양평군",106406,83065,34324,45487,1662,81473,8.46619621274549
"경기도","가평군",55618,42512,16684,23870,872,41426,4.38227540653417
"강원도","춘천시",243403,186646,82376,94926,5294,182596,24.8274211684916
"강원도","원주시",302881,226239,100954,113560,6105,220619,53.8556178582152
"강원도","강릉시",185823,141724,54377,80482,3434,138293,59.6522481797164
"강원도","동해시",77147,57515,22896,31739,1359,55994,0.657294983574082
