"나이","성별","키_cm","몸무게_kg","앉아서앞으로구부리기_cm","윗몸일으키기","멀리뛰기","등급","bmr"
27,0,172.3,75.24,18.4,60,217,"C",1560.5
25,0,165,55.8,16.3,53,229,"A",1370.2
31,0,179.6,78,12,49,181,"C",1581.4
32,0,174.5,71.1,15.2,53,219,"B",1501.3
28,0,173.8,67.7,27.1,45,217,"B",1486.2
36,1,165.4,55.4,21,27,153,"B",1315.4
42,1,164.5,63.7,0.8,18,146,"D",1365.2
33,0,174.9,77.2,12.3,42,234,"B",1555.8
54,0,166.8,67.5,18.6,34,148,"C",1349.4
28,0,185,84.6,12.1,55,213,"B",1668.6
42,0,169.2,65.4,16,68,211,"A",1390
57,1,153,49,30,0,90,"D",1132.9
27,1,156,53.9,13.1,28,144,"C",1326.3
22,0,175.7,67.9,19.2,55,232,"C",1519.7
24,0,181,84.4,7.2,54,213,"C",1678.2
45,1,159,63.1,19,30,155,"A",1335.5
25,1,164.2,66.6,22.9,39,178,"C",1472.4
26,0,179.9,71.5,17.8,61,239,"A",1543
26,0,169.2,70.6,15.1,53,225,"B",1515.1
21,1,162.7,47.2,20.5,36,137,"B",1302.3
25,1,161.7,63.36,10.7,39,160,"C",1436.8
59,1,155.9,62.7,29.1,25,122,"A",1260.2
38,0,166.7,67.3,19.7,62,215,"D",1422.5
44,0,170,63.3,11.6,49,196,"B",1361.9
23,1,164.1,59.4,27.5,32,169,"C",1412.5
62,0,169,70.7,4,43,131,"C",1346.5
47,1,158.3,53.5,8.1,32,151,"D",1232.6
48,0,175.8,84.5,3.7,24,211,"D",1557
36,0,176,81.3,8.1,54,232,"C",1583.1
50,1,159.8,57.1,24.4,30,143,"A",1255.8
25,0,170.9,70.7,26.4,38,246,"C",1523.8
26,0,176.7,77.2,9.1,51,223,"C",1592
28,1,159.5,51.54,23,37,145,"A",1305.3
30,0,172.1,79.5,-2,40,192,"D",1587
49,1,151.5,52,21.3,39,154,"B",1196.6
40,0,177.6,88.6,12.1,54,224,"C",1637.2
21,0,172.5,66.4,6.3,46,178,"D",1504.2
31,0,177.5,79.5,18.4,62,208,"A",1592
32,0,178,84.5,16.2,62,232,"A",1636.2
27,0,177.6,79.7,1.8,59,219,"D",1612.9
42,0,168,61,1,32,230,"D",1345.6
52,0,173.6,84.9,9,43,185,"D",1538.1
39,0,173.3,69.8,18.2,38,227,"C",1453.7
33,1,159.6,60.5,22.2,24,129,"C",1368
25,1,161.8,57.7,26.6,50,190,"A",1382.7
31,0,169.9,73.1,14.5,37,249,"D",1516.9
34,0,183.6,76.82,14.2,55,220,"B",1563.2
26,0,172.1,66.1,-9.9,44,159,"D",1477.1
28,0,180.1,82.1,18.8,55,247,"A",1635.7
58,0,164.2,64,18.3,38,205,"B",1292.4
48,0,169.8,75.4,24.7,55,246,"A",1458.9
23,0,180.1,65.9,18.1,56,234,"A",1503.7
38,1,157.2,51.7,14.7,19,139,"C",1255.7
43,1,168.3,69.3,20.2,33,164,"B",1421.1
21,1,159.5,51.3,2.1,5,105,"D",1335.9
56,0,166.7,56.9,17.8,30,198,"B",1238.1
24,0,164.4,66.2,16.2,43,232,"C",1473.6
58,1,146.5,46.4,17.4,20,111,"C",1091.5
42,0,174.1,103.1,3.6,25,153,"D",1760.7
45,0,185.4,80,7.1,22,205,"D",1545.2
37,0,168.9,78.8,20.9,47,241,"C",1541.6
31,0,175.3,83.6,7.2,55,193,"D",1627.4
43,1,164,50.8,13.5,28,160,"C",1235.8
23,1,162.4,58.9,25.5,48,178,"A",1404.7
59,1,165,63.7,25.5,30,120,"B",1286.2
63,0,166.6,75.5,6.7,17,140,"D",1383.6
40,0,174.2,77.6,12.1,48,213,"B",1525.5
27,1,150.5,55.7,13.4,23,159,"D",1333.7
56,1,160.2,62.4,20.7,15,133,"B",1279.2
35,0,179,75,16.6,54,233,"A",1532.7
30,0,172.7,78,3.4,25,218,"D",1573.7
56,0,160.2,62.7,9.5,27,184,"C",1282.1
36,0,171.5,80.5,16.8,53,220,"A",1567.3
60,0,175.1,66.5,13.9,31,211,"C",1326.6
22,0,172.2,70.6,9.8,50,213,"D",1539.3
22,0,171.9,78.46,-9.3,46,219,"D",1614.2
37,0,174,75.2,20.5,50,224,"B",1516.2
21,1,158.1,53.6,12.4,17,116,"D",1355.4
21,0,170.4,74.3,12.7,54,194,"B",1576.3
60,1,158.6,62.7,18.4,12,132,"B",1260.4
27,1,168.5,64.2,23.1,18,164,"D",1447.7
59,1,156.3,60.5,22.4,23,135,"A",1239.8
47,1,157,54.1,18.2,25,157,"B",1236.1
21,1,161.3,50.6,29.4,39,175,"A",1332.4
51,0,177,68.7,11.3,35,220,"B",1393.4
48,0,171,66.2,16,49,225,"B",1372.7
49,0,170,66.2,20,39,156,"C",1366.2
41,1,158.1,51,28.6,46,165,"A",1236.5
24,1,159,45.5,22.9,57,197,"A",1265.2
35,0,178.4,79,14.7,68,260,"A",1570
26,1,156.7,56.3,22.9,28,130,"C",1355.3
35,0,178.5,78.4,17.1,64,237,"A",1564.4
25,0,171.2,65.1,22.2,54,239,"A",1470.6
30,0,176.4,71.7,24.3,56,210,"B",1519.8
27,0,175.4,86.4,20.6,48,213,"B",1673.3
41,0,166.7,65.7,18.7,54,242,"A",1393.1
50,1,158.4,57.2,18.6,17,136,"C",1254.2
22,0,175.8,72,19,54,188,"C",1559.2
56,0,173,70.9,11.1,44,162,"B",1383.8
46,1,159.1,52.2,17.9,30,136,"D",1226.3
44,0,180.5,79.5,10.8,33,196,"C",1536.3
25,1,162.2,71.5,7,5,120,"D",1515.9
